Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
68,13,3,144,5,Some Random Commen with Id 68
69,13,3,52,4,Some Random Commen with Id 69
70,13,3,36,3,Some Random Commen with Id 70
71,14,7,53,0,Some Random Commen with Id 71
72,14,7,110,6,Some Random Commen with Id 72
73,14,7,102,0,Some Random Commen with Id 73
74,15,5,93,7,Some Random Commen with Id 74
75,15,5,96,3,Some Random Commen with Id 75
76,15,5,124,0,Some Random Commen with Id 76
77,15,5,83,9,Some Random Commen with Id 77
78,15,5,195,5,Some Random Commen with Id 78
79,16,4,82,2,Some Random Commen with Id 79
80,16,4,37,2,Some Random Commen with Id 80
81,16,4,76,9,Some Random Commen with Id 81
82,16,4,91,2,Some Random Commen with Id 82
83,16,4,88,9,Some Random Commen with Id 83
84,16,4,49,5,Some Random Commen with Id 84
85,16,4,153,1,Some Random Commen with Id 85
86,16,4,156,6,Some Random Commen with Id 86
87,19,5,139,5,Some Random Commen with Id 87
88,19,5,165,9,Some Random Commen with Id 88
89,19,5,133,9,Some Random Commen with Id 89
90,19,5,141,4,Some Random Commen with Id 90
91,19,5,125,2,Some Random Commen with Id 91
92,19,5,20,1,Some Random Commen with Id 92
93,19,5,161,8,Some Random Commen with Id 93
94,19,5,86,7,Some Random Commen with Id 94
95,20,7,137,2,Some Random Commen with Id 95
96,20,7,87,2,Some Random Commen with Id 96
97,20,7,67,5,Some Random Commen with Id 97
98,20,7,52,8,Some Random Commen with Id 98
99,20,7,43,5,Some Random Commen with Id 99
100,20,7,57,9,Some Random Commen with Id 100
101,20,7,184,5,Some Random Commen with Id 101
102,20,7,15,6,Some Random Commen with Id 102
103,21,5,38,6,Some Random Commen with Id 103
104,21,5,24,6,Some Random Commen with Id 104
105,21,5,58,9,Some Random Commen with Id 105
106,21,5,151,1,Some Random Commen with Id 106
107,21,5,196,2,Some Random Commen with Id 107
108,21,5,168,5,Some Random Commen with Id 108
109,21,5,133,1,Some Random Commen with Id 109
110,21,5,131,2,Some Random Commen with Id 110
111,21,5,117,4,Some Random Commen with Id 111
112,22,2,49,2,Some Random Commen with Id 112
113,22,2,20,6,Some Random Commen with Id 113
114,22,2,154,7,Some Random Commen with Id 114
115,22,2,177,2,Some Random Commen with Id 115
116,22,2,138,6,Some Random Commen with Id 116
117,22,2,35,6,Some Random Commen with Id 117
118,22,2,66,2,Some Random Commen with Id 118
119,23,1,135,0,Some Random Commen with Id 119
120,23,1,102,1,Some Random Commen with Id 120
121,23,1,172,8,Some Random Commen with Id 121
122,23,1,111,2,Some Random Commen with Id 122
123,23,1,72,7,Some Random Commen with Id 123
124,23,1,75,1,Some Random Commen with Id 124
125,23,1,63,1,Some Random Commen with Id 125
126,23,1,34,0,Some Random Commen with Id 126
127,24,7,27,0,Some Random Commen with Id 127
128,24,7,49,4,Some Random Commen with Id 128
129,24,7,48,4,Some Random Commen with Id 129
130,24,7,151,1,Some Random Commen with Id 130
131,24,7,16,9,Some Random Commen with Id 131
132,24,7,37,5,Some Random Commen with Id 132
133,24,7,102,1,Some Random Commen with Id 133
134,25,8,70,3,Some Random Commen with Id 134
135,25,8,75,4,Some Random Commen with Id 135
136,25,8,160,3,Some Random Commen with Id 136
137,25,8,48,5,Some Random Commen with Id 137
138,25,8,53,2,Some Random Commen with Id 138
139,25,8,163,3,Some Random Commen with Id 139
140,25,8,78,6,Some Random Commen with Id 140
141,26,4,37,9,Some Random Commen with Id 141
142,27,1,155,9,Some Random Commen with Id 142
143,27,1,67,2,Some Random Commen with Id 143
144,29,2,88,2,Some Random Commen with Id 144
145,29,2,47,1,Some Random Commen with Id 145
146,29,2,11,3,Some Random Commen with Id 146
147,29,2,53,8,Some Random Commen with Id 147
148,30,1,24,6,Some Random Commen with Id 148
149,30,1,140,1,Some Random Commen with Id 149
150,30,1,67,7,Some Random Commen with Id 150
151,30,1,137,4,Some Random Commen with Id 151
152,30,1,79,9,Some Random Commen with Id 152
153,30,1,45,7,Some Random Commen with Id 153
154,30,1,111,4,Some Random Commen with Id 154
155,30,1,196,8,Some Random Commen with Id 155
156,31,4,111,9,Some Random Commen with Id 156
157,32,5,67,0,Some Random Commen with Id 157
158,32,5,42,7,Some Random Commen with Id 158
159,32,5,167,5,Some Random Commen with Id 159
160,33,8,148,4,Some Random Commen with Id 160
161,33,8,4,4,Some Random Commen with Id 161
162,33,8,5,4,Some Random Commen with Id 162
163,33,8,188,5,Some Random Commen with Id 163
164,33,8,133,9,Some Random Commen with Id 164
165,33,8,41,4,Some Random Commen with Id 165
166,33,8,103,8,Some Random Commen with Id 166
167,33,8,199,0,Some Random Commen with Id 167
168,34,9,164,0,Some Random Commen with Id 168
169,34,9,186,2,Some Random Commen with Id 169
170,35,6,50,3,Some Random Commen with Id 170
171,35,6,76,1,Some Random Commen with Id 171
172,37,8,119,9,Some Random Commen with Id 172
173,37,8,185,0,Some Random Commen with Id 173
174,37,8,139,1,Some Random Commen with Id 174
175,37,8,90,1,Some Random Commen with Id 175
176,37,8,159,4,Some Random Commen with Id 176
177,37,8,108,8,Some Random Commen with Id 177
178,37,8,184,6,Some Random Commen with Id 178
179,37,8,109,8,Some Random Commen with Id 179
180,37,8,188,4,Some Random Commen with Id 180
181,38,2,180,1,Some Random Commen with Id 181
182,38,2,155,4,Some Random Commen with Id 182
183,38,2,9,8,Some Random Commen with Id 183
184,39,6,3,2,Some Random Commen with Id 184
185,39,6,164,2,Some Random Commen with Id 185
186,39,6,100,6,Some Random Commen with Id 186
187,39,6,154,1,Some Random Commen with Id 187
188,39,6,27,2,Some Random Commen with Id 188
189,39,6,73,4,Some Random Commen with Id 189
190,39,6,148,6,Some Random Commen with Id 190
191,39,6,53,6,Some Random Commen with Id 191
